from;to
0;179
0;20
0;0
0;138
0;36
0;178
179;157
20;144
20;63
138;53
138;138
36;18
36;206
178;40
178;64
178;148
178;170
1;171
1;207
1;164
1;62
1;66
1;218
171;70
171;76
171;222
207;164
164;70
62;222
62;91
62;225
66;95
66;91
66;227
66;76
66;94
66;196
218;196
2;149
2;159
2;81
2;2
2;166
149;8
149;90
159;39
159;151
159;166
81;166
166;5
166;39
166;54
166;101
166;155
166;242
166;166
166;191
166;224
166;239
3;112
3;67
3;170
112;24
112;88
112;165
67;140
170;40
170;50
170;116
170;148
170;197
170;183
4;130
4;238
4;216
130;208
130;130
238;202
238;208
216;93
5;191
5;5
5;39
191;240
39;224
39;242
39;135
6;78
6;235
6;211
6;52
78;220
78;111
78;147
235;34
235;56
235;103
235;136
235;147
211;103
52;103
7;245
7;194
7;109
7;182
7;15
7;106
7;219
245;15
245;23
245;194
245;219
194;188
194;213
194;219
109;77
109;163
109;213
109;219
182;23
182;77
182;213
182;219
15;77
15;163
15;219
15;37
15;213
106;195
219;23
219;57
219;77
219;123
219;124
219;152
219;163
219;186
219;188
219;205
219;230
8;54
54;224
9;131
9;141
131;25
131;40
131;90
131;114
131;119
131;139
141;114
10;195
10;187
10;202
195;187
195;189
195;208
187;93
187;201
202;63
202;189
11;152
11;175
11;16
11;115
152;65
152;99
152;175
152;233
175;99
175;161
175;236
16;133
16;212
16;19
115;65
12;27
12;167
27;22
27;26
27;181
27;156
167;44
167;107
13;204
13;117
13;217
204;51
204;60
204;117
117;14
117;31
117;51
117;60
117;65
117;100
117;102
117;145
117;215
117;122
117;117
117;203
117;206
217;14
217;31
217;51
217;60
217;102
217;145
217;160
217;203
217;215
217;243
14;203
14;100
14;31
203;100
203;145
100;145
100;102
31;102
31;51
31;243
77;23
77;213
77;124
77;77
77;186
77;123
77;111
163;124
163;213
37;46
37;143
37;44
213;188
213;198
133;236
133;161
212;65
212;99
19;19
17;229
17;214
17;146
229;146
214;44
214;61
146;231
18;209
209;142
144;69
144;157
63;201
63;93
63;85
21;56
21;147
21;220
21;89
56;103
147;103
147;220
220;103
89;103
22;181
22;199
22;156
22;43
181;205
181;199
199;26
199;86
156;43
156;205
156;174
43;43
24;226
24;193
24;165
226;192
193;140
193;165
165;83
25;139
25;47
25;240
139;92
139;119
47;90
47;114
240;114
240;248
240;240
26;28
28;97
97;96
97;174
29;190
29;35
29;33
29;176
190;169
35;33
33;41
33;173
33;34
33;169
176;113
176;176
30;198
30;69
198;198
51;98
51;122
51;206
51;60
243;73
32;87
32;45
32;46
32;105
32;118
87;46
87;153
87;221
45;45
46;38
46;172
46;84
46;223
46;185
46;94
46;46
46;221
46;73
105;73
118;38
41;173
41;169
41;80
169;74
143;107
143;162
44;237
38;172
38;94
172;73
172;185
172;223
94;73
224;101
135;90
135;248
135;210
40;79
40;110
40;128
40;121
40;197
40;108
40;184
40;183
40;72
40;40
79;184
110;148
110;121
128;64
128;116
128;184
121;72
121;148
121;184
197;99
197;197
108;72
72;116
80;71
42;42
42;126
126;70
237;61
84;73
84;223
223;73
223;153
223;185
223;210
185;73
90;210
48;234
48;48
234;59
234;127
234;232
49;68
49;59
49;232
49;158
49;154
68;59
68;232
68;160
59;58
59;247
59;127
59;132
59;177
59;150
232;200
158;132
154;127
50;50
98;60
60;145
103;136
103;125
103;103
53;142
55;83
55;228
55;239
83;177
228;123
228;140
228;177
228;228
239;120
57;230
230;188
230;230
58;58
247;132
247;150
127;160
127;200
127;132
127;150
177;120
177;140
177;244
150;160
61;231
231;162
222;95
91;70
225;70
85;85
227;70
227;227
196;196
140;244
160;200
70;70
70;236
71;129
129;82
129;113
74;75
75;75
75;82
186;123
123;188
111;125
86;180
180;168
180;174
88;192
88;88
192;192
210;104
210;210
92;248
248;104
96;134
134;168
134;174
99;137
99;99
137;246
101;101
101;151
151;155
136;136
208;241
246;233
233;233
189;241
