from;to
0;158
0;17
0;0
0;119
0;30
0;157
158;137
17;125
17;54
119;46
119;119
30;15
30;181
157;34
157;55
157;128
157;149
1;150
1;182
1;143
1;53
1;57
1;191
150;61
150;67
150;193
182;143
143;61
53;193
53;79
53;196
57;83
57;79
57;198
57;67
57;82
57;171
191;171
2;129
2;139
2;70
2;2
2;145
129;6
129;78
139;33
139;131
139;145
70;145
145;5
145;33
145;47
145;89
145;135
145;211
145;145
145;167
145;195
145;208
3;97
3;58
3;149
97;19
97;77
97;144
58;121
149;34
149;44
149;101
149;128
149;172
149;161
4;112
4;207
4;189
112;183
112;112
207;177
207;183
189;81
5;167
5;5
5;33
167;209
33;195
33;211
33;117
93;170
6;47
47;195
7;113
7;122
113;20
113;34
113;78
113;99
113;104
113;120
122;99
8;170
8;164
8;177
170;164
170;165
170;183
164;81
164;176
177;54
177;165
9;132
9;154
9;13
9;100
132;56
132;87
132;154
132;203
154;87
154;141
154;205
13;115
13;186
13;16
100;56
10;22
10;146
22;18
22;21
22;160
22;136
146;38
146;94
11;179
11;102
11;190
179;45
179;51
179;102
102;12
102;26
102;45
102;51
102;56
102;88
102;90
102;126
102;188
102;107
102;102
102;178
102;181
190;12
190;26
190;45
190;51
190;90
190;126
190;140
190;178
190;188
190;212
12;178
12;88
12;26
178;88
178;126
88;126
88;90
26;90
26;45
26;212
31;40
31;124
31;38
115;205
115;141
186;56
186;87
16;16
14;200
14;187
14;127
200;127
187;38
187;52
127;201
15;184
184;123
125;60
125;137
54;176
54;81
54;74
18;160
18;174
18;136
18;37
160;180
160;174
174;21
174;75
136;37
136;180
136;153
37;37
19;197
19;169
19;144
197;168
169;121
169;144
144;72
20;120
20;41
20;209
120;80
120;104
41;78
41;99
209;99
209;216
209;209
21;23
23;85
85;84
85;153
24;166
24;29
24;28
24;155
166;148
29;28
28;35
28;152
28;148
155;98
155;155
25;173
25;60
173;173
45;86
45;107
45;181
45;51
212;64
27;76
27;39
27;40
27;92
27;103
76;40
76;133
76;192
39;39
40;32
40;151
40;73
40;194
40;163
40;82
40;40
40;192
40;64
92;64
103;32
35;152
35;148
35;69
148;65
124;94
124;142
38;206
32;151
32;82
151;64
151;163
151;194
82;64
195;89
117;78
117;216
117;185
34;68
34;96
34;110
34;106
34;172
34;95
34;162
34;161
34;63
34;34
68;162
96;128
96;106
110;55
110;101
110;162
106;63
106;128
106;162
172;87
172;172
95;63
63;101
69;62
36;36
36;108
108;61
206;52
73;64
73;194
194;64
194;133
194;163
194;185
163;64
78;185
42;204
42;42
204;50
204;109
204;202
43;59
43;50
43;202
43;138
43;134
59;50
59;202
59;140
50;49
50;215
50;109
50;114
50;156
50;130
202;175
138;114
134;109
44;44
86;51
51;126
46;123
48;72
48;199
48;208
72;156
199;121
199;156
199;199
208;105
49;49
215;114
215;130
109;140
109;175
109;114
109;130
156;105
156;121
156;213
130;140
52;201
201;142
193;83
79;61
196;61
74;74
198;61
198;198
171;171
121;213
140;175
61;61
61;205
62;111
111;71
111;98
65;66
66;66
66;71
75;159
159;147
159;153
77;168
77;77
168;168
185;91
185;185
80;216
216;91
84;116
116;147
116;153
87;118
87;87
118;214
89;89
89;131
131;135
183;210
214;203
203;203
165;210
28;199
180;93
