from;to
0;1
0;11
0;21
0;75
0;163
0;302
0;349
0;405
0;415
0;462
0;495
1;2
1;3
1;4
1;7
1;8
1;13
1;16
1;17
1;18
1;20
1;22
1;27
1;28
1;32
1;34
1;44
1;45
1;46
1;50
1;60
1;67
1;70
1;71
1;80
1;95
1;104
1;105
1;130
1;142
1;148
1;150
1;157
1;174
1;187
1;201
1;211
1;214
1;220
1;229
1;238
1;240
1;250
1;255
1;282
1;297
1;305
1;323
1;331
1;332
1;337
1;340
1;355
1;357
1;400
1;428
1;474
1;480
1;497
2;53
2;59
2;123
2;181
2;207
2;221
2;244
2;260
2;263
2;317
2;368
2;379
2;498
3;5
3;6
3;9
3;15
3;19
3;25
3;26
3;30
3;41
3;65
3;79
3;88
3;112
3;113
3;139
3;151
3;186
3;210
3;245
3;269
3;271
3;318
3;346
3;359
3;378
3;388
3;468
4;115
4;147
4;158
4;173
5;39
5;441
6;10
6;14
6;401
7;29
7;51
7;154
7;235
7;291
8;90
8;114
8;279
8;307
8;370
9;12
9;33
9;61
9;64
9;85
9;137
10;83
10;108
10;219
10;241
10;327
10;348
10;377
11;23
11;77
11;82
11;162
11;416
11;435
12;63
13;156
13;396
14;43
14;74
15;24
15;87
15;315
15;472
15;492
16;135
17;249
17;350
17;380
17;398
18;170
18;208
18;373
20;52
20;98
20;180
20;212
20;215
20;292
20;335
22;37
22;144
22;270
22;392
23;35
23;76
23;111
23;131
23;192
23;248
23;430
25;479
26;31
26;122
26;124
26;133
26;164
26;196
26;218
26;264
26;304
26;376
26;446
27;40
27;55
27;91
27;146
27;237
27;294
27;303
27;329
27;363
27;393
28;278
29;116
30;49
30;66
30;68
30;141
30;182
30;236
30;333
30;351
30;385
30;482
31;38
31;56
31;78
31;119
31;224
31;300
32;97
34;57
34;62
34;69
34;81
34;86
34;100
34;136
34;155
34;160
34;165
34;193
34;230
34;251
34;284
34;339
34;344
35;36
35;42
35;47
35;126
35;168
35;184
36;413
37;89
38;411
40;58
40;140
40;206
40;262
41;48
41;232
41;336
41;347
43;72
43;499
44;434
45;92
46;110
47;54
47;134
49;159
49;417
50;73
50;84
50;296
51;106
51;356
51;374
52;93
52;175
52;394
52;421
54;316
54;485
54;496
57;101
57;125
58;149
59;171
59;253
59;319
59;408
66;424
67;102
67;176
67;189
67;246
67;247
67;293
67;301
67;334
69;287
72;143
73;261
76;254
76;290
79;96
80;422
83;202
83;312
84;117
84;179
85;94
85;118
87;103
87;314
87;471
88;360
88;387
89;121
89;275
89;322
91;107
91;129
91;152
91;194
91;199
91;209
91;258
91;259
91;367
94;161
95;470
97;99
97;239
97;265
97;420
99;109
100;128
100;177
100;425
103;167
104;178
104;183
104;188
107;169
107;197
107;274
107;375
107;429
109;172
112;381
113;353
114;120
114;191
114;216
117;491
121;234
121;354
121;481
122;266
122;386
124;127
124;299
124;436
128;132
128;309
129;145
130;226
132;231
132;306
132;448
133;138
134;228
140;242
141;200
141;338
142;268
143;204
143;223
143;391
147;407
148;153
148;431
148;463
148;487
149;464
151;358
152;166
152;185
153;198
153;458
155;190
155;227
155;272
158;295
162;195
162;203
162;281
165;205
166;466
169;213
169;256
169;384
169;395
169;402
170;267
170;366
170;461
171;313
171;324
176;283
176;298
176;443
178;406
180;326
181;345
182;308
182;477
183;276
185;361
185;427
186;286
186;330
186;414
186;469
189;225
189;252
191;222
191;488
202;288
205;371
209;273
210;233
210;343
212;217
212;423
215;439
215;449
221;362
222;243
222;444
223;342
223;372
224;310
225;320
225;328
225;352
226;409
227;280
227;365
237;452
239;442
245;257
246;494
247;325
247;390
249;285
252;311
252;419
258;404
263;397
264;456
266;277
281;289
281;410
281;437
281;445
281;475
286;321
286;454
290;467
309;341
309;364
311;460
321;389
321;412
321;438
322;383
323;432
324;403
337;476
356;418
357;399
357;433
358;369
358;382
362;478
363;490
364;453
366;489
369;447
381;486
386;450
389;473
415;426
420;440
422;457
428;455
434;459
440;493
442;451
456;465
461;484
471;483
