from;to
0;4
0;5
0;8
0;9
0;12
0;13
0;17
0;18
0;21
0;31
0;32
0;38
0;42
0;54
0;58
0;61
0;62
0;64
0;79
0;81
0;82
0;84
0;86
0;91
0;93
0;98
0;103
0;104
0;107
0;109
0;113
0;144
0;145
0;155
0;166
0;177
0;178
0;187
0;192
0;211
0;212
0;213
0;214
0;237
0;240
0;252
0;281
0;286
0;289
0;295
0;301
0;303
0;310
0;319
0;320
0;321
0;327
0;328
0;331
0;333
0;342
0;349
0;356
0;362
0;373
0;374
0;378
0;389
0;409
0;420
0;439
0;458
0;466
0;467
0;471
0;484
0;491
0;492
1;4
1;5
1;7
1;8
1;10
1;11
1;14
1;15
1;16
1;19
1;26
1;29
1;33
1;34
1;40
1;43
1;44
1;46
1;49
1;59
1;60
1;74
1;75
1;76
1;90
1;95
1;100
1;118
1;119
1;124
1;126
1;129
1;139
1;148
1;158
1;159
1;163
1;171
1;189
1;208
1;215
1;219
1;249
1;258
1;266
1;273
1;282
1;283
1;291
1;332
1;354
1;405
1;417
1;425
1;434
1;452
1;469
1;488
1;495
2;4
2;6
3;4
3;5
3;6
3;7
3;26
3;73
3;97
3;105
3;138
3;200
3;284
3;306
3;337
4;5
4;6
4;7
4;8
4;9
4;10
4;17
4;19
4;22
4;33
4;40
4;43
4;45
4;65
4;74
4;77
4;92
4;96
4;127
4;146
4;158
4;160
4;169
4;215
4;219
4;220
4;227
4;303
4;341
4;356
4;362
4;389
4;405
4;412
4;495
4;498
5;6
5;7
5;8
5;9
5;11
5;12
5;15
5;16
5;18
5;19
5;20
5;24
5;28
5;33
5;38
5;49
5;50
5;56
5;62
5;66
5;73
5;75
5;97
5;110
5;115
5;118
5;123
5;124
5;143
5;154
5;181
5;284
5;306
5;320
5;331
5;345
5;369
5;387
5;413
5;440
5;486
6;26
7;10
7;22
7;43
7;77
7;97
7;283
7;284
7;427
7;431
8;9
8;10
8;11
8;12
8;13
8;14
8;15
8;17
8;19
8;20
8;21
8;23
8;24
8;25
8;27
8;28
8;29
8;30
8;36
8;37
8;41
8;45
8;48
8;52
8;53
8;56
8;57
8;58
8;61
8;68
8;72
8;78
8;83
8;87
8;94
8;107
8;111
8;114
8;136
8;149
8;153
8;156
8;160
8;163
8;165
8;168
8;184
8;196
8;212
8;217
8;222
8;229
8;230
8;243
8;268
8;269
8;270
8;271
8;275
8;278
8;279
8;293
8;300
8;302
8;313
8;350
8;352
8;376
8;384
8;415
8;417
8;433
8;437
8;445
8;457
8;463
8;465
8;468
8;473
8;474
9;12
9;13
9;17
9;20
9;25
9;28
9;32
9;38
9;41
9;42
9;45
9;47
9;56
9;64
9;70
9;71
9;78
9;79
9;81
9;85
9;91
9;92
9;93
9;94
9;101
9;108
9;111
9;112
9;113
9;116
9;123
9;130
9;131
9;132
9;154
9;166
9;170
9;175
9;176
9;191
9;198
9;205
9;224
9;240
9;255
9;296
9;299
9;336
9;344
9;350
9;365
9;367
9;391
9;400
9;410
9;416
9;422
9;433
10;11
10;14
10;16
10;22
10;23
10;26
10;34
10;39
10;43
10;46
10;50
10;65
10;76
10;100
10;110
10;125
10;127
10;133
10;171
10;210
10;312
10;346
10;376
10;399
10;417
10;423
10;459
10;468
10;481
11;16
11;22
11;23
11;24
11;33
11;34
11;37
11;45
11;57
11;60
11;65
11;68
11;74
11;80
11;117
11;125
11;129
11;134
11;143
11;147
11;153
11;158
11;165
11;169
11;181
11;183
11;209
11;222
11;258
11;369
11;387
11;388
11;413
11;423
11;478
12;13
12;14
12;18
12;31
12;131
12;155
12;296
12;362
12;389
13;18
13;25
13;27
13;31
13;51
13;62
13;63
13;107
13;201
13;217
13;361
13;374
13;384
13;491
14;15
14;23
14;30
14;36
14;46
14;56
14;59
14;115
14;171
14;208
14;230
14;239
14;249
14;332
14;358
14;359
