from;to
0;1
0;2
0;3
0;4
0;5
0;6
0;7
0;8
0;9
0;10
0;11
0;12
0;13
0;14
0;15
0;16
0;17
0;18
0;19
0;20
0;21
1;3
1;4
1;5
1;6
1;8
1;10
1;11
1;12
1;13
1;14
1;15
1;16
1;22
1;17
1;23
1;24
1;25
2;3
2;4
2;5
2;6
2;8
2;10
2;11
2;12
2;13
2;14
2;15
2;16
2;22
2;26
2;27
2;28
2;23
2;29
3;30
3;4
3;5
3;6
3;8
3;9
3;10
3;11
3;12
3;13
3;15
3;16
3;22
3;17
3;27
3;31
3;32
3;33
3;34
3;35
4;30
4;5
4;6
4;7
4;8
4;9
4;10
4;11
4;12
4;13
4;14
4;15
4;16
4;22
4;17
4;39
4;40
4;34
4;41
5;30
5;7
5;8
5;9
5;10
5;11
5;12
5;13
5;14
5;15
5;16
5;22
5;17
5;42
5;23
5;43
6;7
6;8
6;9
6;10
6;11
6;12
6;13
6;14
6;15
6;22
6;17
6;42
6;31
6;44
6;45
6;46
7;9
7;10
7;12
7;13
7;14
7;15
7;22
7;17
7;47
7;29
7;48
7;49
7;50
7;33
7;51
7;20
8;30
8;9
8;10
8;13
8;14
8;15
8;16
8;22
8;17
8;52
8;53
8;49
8;54
8;37
9;30
9;11
9;12
9;15
9;22
9;17
9;55
9;23
9;56
9;19
10;30
10;11
10;12
10;13
10;14
10;15
10;22
10;17
10;57
10;23
10;56
10;46
11;30
11;12
11;13
11;14
11;16
11;22
11;17
11;32
11;49
11;58
11;56
11;59
12;30
12;13
12;15
12;16
12;22
12;17
12;26
12;60
12;23
13;30
13;14
13;15
13;16
13;17
13;44
13;40
13;45
13;24
14;30
14;15
14;16
14;22
14;17
14;40
14;54
14;19
15;16
15;22
15;17
15;52
15;61
15;49
15;62
15;34
15;63
15;21
16;53
16;60
16;42
16;57
16;59
16;35
17;30
17;22
17;47
17;24
17;36
17;56
17;43
18;52
18;39
18;47
18;61
18;26
18;27
18;60
18;55
18;42
18;66
18;57
18;44
18;28
18;40
18;67
18;32
18;68
18;29
18;45
18;69
18;48
18;36
18;49
18;58
18;37
19;27
19;31
19;28
19;40
19;67
19;50
19;54
19;51
19;46
19;62
19;37
19;71
19;34
19;72
19;63
19;20
19;74
19;43
19;25
19;21
19;70
19;59
19;35
19;41
20;47
20;60
20;58
20;50
20;33
20;56
20;64
20;54
20;73
20;51
20;62
20;37
20;38
20;71
20;34
20;72
20;63
20;74
20;43
20;25
20;21
20;70
20;35
21;26
21;50
21;33
21;56
21;64
21;54
21;73
21;51
21;46
21;62
21;38
21;71
21;34
21;72
21;63
21;74
21;43
21;25
21;70
21;59
21;35
21;41
22;30
22;52
22;31
22;32
22;24
22;64
23;65
23;52
23;53
23;39
23;47
23;61
23;27
23;60
23;55
23;42
23;66
23;57
23;44
23;28
23;40
23;32
23;68
23;45
23;24
23;69
23;48
23;58
23;71
24;65
24;52
24;53
24;39
24;47
24;61
24;26
24;27
24;55
24;66
24;31
24;57
24;44
24;28
24;40
24;67
24;32
24;68
24;29
24;45
24;69
24;48
24;36
24;58
24;46
24;63
24;74
25;26
25;33
25;56
25;64
25;54
25;73
25;51
25;62
25;37
25;38
25;71
25;34
25;63
25;74
25;43
25;70
25;59
25;35
25;41
26;65
26;52
26;53
26;47
26;61
26;27
26;60
26;42
26;66
26;44
26;67
26;32
26;68
26;29
26;45
26;69
26;48
26;36
26;56
26;54
26;38
27;30
27;65
27;52
27;53
27;39
27;47
27;61
27;60
27;55
27;42
27;66
27;57
27;44
27;40
27;67
27;32
27;68
27;29
27;45
27;69
27;48
27;36
27;49
27;58
27;33
27;54
27;71
28;30
28;52
28;53
28;47
28;61
28;60
28;55
28;42
28;66
28;31
28;57
28;44
28;40
28;67
28;32
28;68
28;29
28;48
28;49
28;58
28;62
28;59
29;65
29;52
29;53
29;39
29;47
29;61
29;60
29;55
29;42
29;66
29;31
29;57
29;44
29;40
29;67
29;32
29;68
29;69
29;48
29;36
29;49
29;58
29;56
29;73
29;34
29;41
30;36
30;37
30;38
31;65
31;52
31;53
31;39
31;47
31;61
31;60
31;55
31;42
31;66
31;57
31;44
31;40
31;67
31;32
31;68
31;45
31;48
31;36
31;49
31;58
31;50
31;38
31;35
32;65
32;52
32;53
32;39
32;47
32;61
32;60
32;55
32;42
32;57
32;44
32;40
32;67
32;68
32;45
32;69
32;48
32;36
32;49
32;58
32;73
32;34
32;59
33;60
33;55
33;42
33;45
33;50
33;56
33;54
33;73
33;51
33;46
33;37
33;38
33;71
33;72
33;63
33;74
33;43
33;70
33;59
33;35
34;61
34;67
34;68
34;69
34;50
34;56
34;64
34;54
34;73
34;51
34;46
34;62
34;37
34;38
34;72
34;63
34;74
34;43
34;70
34;59
34;35
34;41
35;53
35;47
35;61
35;66
35;68
35;56
35;64
35;54
35;73
35;51
35;46
35;62
35;38
35;71
35;72
35;63
35;74
35;70
35;59
35;41
36;65
36;53
36;39
36;47
36;61
36;60
36;55
36;42
36;66
36;57
36;40
36;67
36;45
36;69
36;48
36;49
36;58
36;54
36;51
37;65
37;60
37;42
37;45
37;56
37;64
37;73
37;51
37;46
37;62
37;38
37;71
37;74
37;43
37;70
37;59
37;41
38;39
38;47
38;55
38;50
38;56
38;64
38;54
38;73
38;51
38;46
38;62
38;71
38;72
38;63
38;74
38;43
38;70
38;59
39;65
39;53
39;60
39;55
39;42
39;66
39;57
39;44
39;40
39;68
39;45
39;69
39;48
39;49
39;58
39;50
39;70
40;65
40;52
40;53
40;47
40;61
40;60
40;55
40;42
40;66
40;57
40;44
40;67
40;68
40;45
40;69
40;48
40;49
40;58
40;70
41;47
41;61
41;50
41;56
41;64
41;54
41;73
41;51
41;46
41;62
41;71
41;72
41;63
41;74
41;43
41;70
41;59
42;65
42;52
42;47
42;61
42;60
42;55
42;66
42;57
42;44
42;68
42;45
42;69
42;48
42;49
42;58
42;54
42;51
42;71
42;59
43;45
43;69
43;48
43;50
43;56
43;64
43;54
43;73
43;51
43;46
43;62
43;71
43;72
43;63
44;65
44;52
44;53
44;47
44;60
44;55
44;66
44;57
44;68
44;45
44;69
44;49
44;58
45;65
45;52
45;53
45;47
45;61
45;60
45;55
45;66
45;57
45;67
45;68
45;69
45;48
45;49
45;58
45;50
45;71
46;48
46;50
46;56
46;64
46;54
46;73
46;51
46;62
46;71
46;63
46;74
46;70
46;59
47;65
47;52
47;53
47;61
47;60
47;55
47;66
47;57
47;68
47;69
47;48
47;49
47;58
48;65
48;52
48;61
48;60
48;55
48;66
48;57
48;67
48;69
48;49
48;58
48;64
48;51
49;65
49;52
49;53
49;61
49;60
49;55
49;57
49;68
49;69
49;58
49;74
50;57
50;56
50;54
50;51
50;62
50;71
50;72
50;63
50;74
50;70
50;59
51;56
51;64
51;54
51;73
51;62
51;71
51;72
51;74
51;70
52;65
52;53
52;61
52;60
52;66
52;67
52;69
52;58
53;65
53;61
53;60
53;55
53;57
53;67
53;68
53;69
53;58
53;64
