from;to
0;1
0;2
0;3
0;4
0;5
0;6
0;7
0;8
0;9
0;10
0;11
0;12
0;13
0;14
1;2
1;3
1;15
1;16
1;4
1;5
1;6
1;17
1;18
1;9
1;10
1;19
1;20
2;3
2;15
2;4
2;6
2;17
2;18
2;8
2;21
2;22
2;10
2;11
2;20
2;23
2;24
2;25
2;26
2;27
2;28
3;16
3;4
3;5
3;6
3;21
3;22
3;11
3;29
3;30
3;26
4;15
4;6
4;17
4;9
4;21
4;22
4;10
4;19
4;11
5;15
5;16
5;7
5;18
5;8
5;21
5;11
5;20
5;33
5;34
6;15
6;16
6;7
6;18
6;9
6;10
6;35
6;36
6;33
7;18
7;9
7;22
7;10
7;20
7;40
8;15
8;16
8;18
8;22
8;10
8;20
8;23
8;36
8;33
8;32
8;41
9;15
9;17
9;21
9;22
9;10
9;19
9;20
9;42
9;14
10;16
10;17
10;18
10;22
10;19
10;11
10;20
10;45
11;15
11;16
11;17
11;21
11;22
11;20
11;29
11;31
11;44
11;47
11;48
12;17
12;51
12;29
12;53
12;54
12;31
12;23
12;30
12;57
12;59
12;46
12;60
12;13
12;43
12;45
12;63
12;62
12;44
12;42
12;64
13;35
13;51
13;31
13;56
13;23
13;30
13;57
13;58
13;59
13;60
13;33
13;42
13;37
13;41
14;57
14;33
14;24
14;40
14;41
14;73
14;39
14;49
14;74
14;27
14;47
14;71
14;70
14;64
14;48
15;16
15;21
15;22
15;19
15;20
15;31
15;32
16;17
17;18
17;22
17;19
17;20
17;37
17;38
17;39
18;21
18;22
18;19
18;23
19;21
19;20
19;46
19;43
20;22
20;49
21;43
21;37
22;44
23;35
23;51
23;29
23;52
23;53
23;54
23;31
23;56
23;30
23;57
23;58
23;60
23;36
23;43
23;63
23;62
23;44
23;42
23;65
24;51
24;65
24;40
24;41
24;38
24;34
24;39
24;49
24;72
24;66
24;69
24;28
24;70
24;48
24;68
25;33
25;65
25;40
25;41
25;73
25;39
25;49
25;74
25;27
25;69
25;28
25;70
25;64
25;48
25;68
26;53
26;31
26;58
26;65
26;41
26;39
26;49
26;72
26;74
26;67
26;27
26;28
26;64
26;48
26;68
27;35
27;30
27;65
27;73
27;38
27;39
27;49
27;72
27;74
27;67
27;66
27;28
27;71
27;70
27;64
27;48
28;65
28;41
28;38
28;34
28;72
28;67
28;69
28;48
29;50
29;52
29;53
29;31
29;55
29;56
29;30
29;57
29;58
29;36
29;43
29;61
29;45
29;63
29;42
30;35
30;51
30;52
30;54
30;31
30;57
30;59
30;36
30;43
30;61
30;45
30;63
30;32
30;37
30;49
30;67
31;50
31;51
31;52
31;54
31;56
31;57
31;59
31;60
31;43
31;61
31;63
31;62
31;32
31;44
31;42
31;37
32;50
32;51
32;54
32;55
32;57
32;58
32;36
32;33
32;45
32;62
32;44
32;42
32;37
33;50
33;35
33;53
33;55
33;56
33;57
33;58
33;43
33;61
33;45
33;63
33;44
33;42
33;37
33;48
34;52
34;43
34;65
34;40
34;73
34;38
34;49
34;72
34;74
34;47
34;66
34;69
34;70
34;68
35;53
35;55
35;57
35;58
35;59
35;46
35;60
35;36
35;43
35;62
35;44
35;65
36;50
36;55
36;56
36;57
36;59
36;43
36;61
36;44
36;37
36;70
37;50
37;51
37;53
37;56
37;58
37;46
37;60
37;43
37;61
37;63
37;62
37;42
38;65
38;40
38;41
38;39
38;49
38;47
38;66
38;69
38;71
38;70
38;64
38;48
39;65
39;40
39;41
39;73
39;49
39;72
39;47
39;66
39;70
40;46
40;73
40;49
40;74
40;67
40;47
40;69
40;71
40;70
40;48
40;68
41;65
41;49
41;74
41;67
41;47
41;69
41;71
41;70
41;64
42;51
42;52
42;53
42;54
42;56
42;57
42;58
42;60
42;43
42;63
42;62
42;68
43;51
43;52
43;53
43;54
43;55
43;58
43;45
43;62
43;44
43;70
44;50
44;51
44;54
44;56
44;57
44;58
44;46
44;60
44;61
44;63
44;62
45;51
45;52
45;54
45;56
45;58
45;46
45;60
45;61
45;47
45;71
46;54
46;55
46;57
46;58
46;59
46;60
46;61
46;62
47;73
47;49
47;74
47;67
47;69
47;48
47;68
48;73
48;49
48;70
48;64
48;68
49;58
49;65
49;73
49;67
49;69
49;70
49;68
50;51
50;52
50;53
50;54
50;55
50;56
50;57
50;58
50;59
50;60
50;61
50;62
51;52
51;53
51;56
51;59
51;60
51;63
51;62
51;66
52;55
52;56
52;57
52;60
52;61
52;62
53;54
53;55
53;57
53;59
53;63
54;57
54;59
54;60
54;63
54;62
55;57
55;58
55;63
56;57
56;59
56;60
56;61
56;62
57;58
57;60
57;61
57;63
58;63
58;62
58;67
59;60
59;62
59;68
60;62
60;69
61;63
62;63
64;65
64;72
64;67
64;66
64;70
64;68
65;72
65;74
65;67
65;70
65;68
66;73
66;72
66;69
67;73
67;69
67;71
67;68
68;72
68;71
69;71
69;70
70;74
71;73
71;72
73;74
